schema_name                                                                                                                     ,view_name                                                                                                                       ,column_id  ,column_name                                                                                                                     ,data_type                                                                                                                       ,max_length,precision
dbo                                                                                                                             ,vAssocSeqLineItems                                                                                                              ,          1,OrderNumber                                                                                                                     ,nvarchar                                                                                                                        ,        40,        0
dbo                                                                                                                             ,vAssocSeqLineItems                                                                                                              ,          2,LineNumber                                                                                                                      ,tinyint                                                                                                                         ,         1,        3
dbo                                                                                                                             ,vAssocSeqLineItems                                                                                                              ,          3,Model                                                                                                                           ,nvarchar                                                                                                                        ,       100,        0
dbo                                                                                                                             ,vAssocSeqOrders                                                                                                                 ,          1,OrderNumber                                                                                                                     ,nvarchar                                                                                                                        ,        40,        0
dbo                                                                                                                             ,vAssocSeqOrders                                                                                                                 ,          2,CustomerKey                                                                                                                     ,int                                                                                                                             ,         4,       10
dbo                                                                                                                             ,vAssocSeqOrders                                                                                                                 ,          3,Region                                                                                                                          ,nvarchar                                                                                                                        ,       100,        0
dbo                                                                                                                             ,vAssocSeqOrders                                                                                                                 ,          4,IncomeGroup                                                                                                                     ,varchar                                                                                                                         ,         8,        0
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,          1,EnglishProductCategoryName                                                                                                      ,nvarchar                                                                                                                        ,       100,        0
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,          2,Model                                                                                                                           ,nvarchar                                                                                                                        ,       100,        0
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,          3,CustomerKey                                                                                                                     ,int                                                                                                                             ,         4,       10
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,          4,Region                                                                                                                          ,nvarchar                                                                                                                        ,       100,        0
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,          5,Age                                                                                                                             ,int                                                                                                                             ,         4,       10
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,          6,IncomeGroup                                                                                                                     ,varchar                                                                                                                         ,         8,        0
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,          7,CalendarYear                                                                                                                    ,smallint                                                                                                                        ,         2,        5
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,          8,FiscalYear                                                                                                                      ,smallint                                                                                                                        ,         2,        5
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,          9,Month                                                                                                                           ,tinyint                                                                                                                         ,         1,        3
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,         10,OrderNumber                                                                                                                     ,nvarchar                                                                                                                        ,        40,        0
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,         11,LineNumber                                                                                                                      ,tinyint                                                                                                                         ,         1,        3
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,         12,Quantity                                                                                                                        ,smallint                                                                                                                        ,         2,        5
dbo                                                                                                                             ,vDMPrep                                                                                                                         ,         13,Amount                                                                                                                          ,money                                                                                                                           ,         8,       19
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,          1,CustomerKey                                                                                                                     ,int                                                                                                                             ,         4,       10
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,          2,GeographyKey                                                                                                                    ,int                                                                                                                             ,         4,       10
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,          3,CustomerAlternateKey                                                                                                            ,nvarchar                                                                                                                        ,        30,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,          4,Title                                                                                                                           ,nvarchar                                                                                                                        ,        16,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,          5,FirstName                                                                                                                       ,nvarchar                                                                                                                        ,       100,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,          6,MiddleName                                                                                                                      ,nvarchar                                                                                                                        ,       100,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,          7,LastName                                                                                                                        ,nvarchar                                                                                                                        ,       100,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,          8,NameStyle                                                                                                                       ,bit                                                                                                                             ,         1,        1
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,          9,BirthDate                                                                                                                       ,date                                                                                                                            ,         3,       10
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         10,MaritalStatus                                                                                                                   ,nchar                                                                                                                           ,         2,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         11,Suffix                                                                                                                          ,nvarchar                                                                                                                        ,        20,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         12,Gender                                                                                                                          ,nvarchar                                                                                                                        ,         2,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         13,EmailAddress                                                                                                                    ,nvarchar                                                                                                                        ,       100,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         14,YearlyIncome                                                                                                                    ,money                                                                                                                           ,         8,       19
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         15,TotalChildren                                                                                                                   ,tinyint                                                                                                                         ,         1,        3
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         16,NumberChildrenAtHome                                                                                                            ,tinyint                                                                                                                         ,         1,        3
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         17,EnglishEducation                                                                                                                ,nvarchar                                                                                                                        ,        80,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         18,SpanishEducation                                                                                                                ,nvarchar                                                                                                                        ,        80,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         19,FrenchEducation                                                                                                                 ,nvarchar                                                                                                                        ,        80,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         20,EnglishOccupation                                                                                                               ,nvarchar                                                                                                                        ,       200,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         21,SpanishOccupation                                                                                                               ,nvarchar                                                                                                                        ,       200,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         22,FrenchOccupation                                                                                                                ,nvarchar                                                                                                                        ,       200,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         23,HouseOwnerFlag                                                                                                                  ,nchar                                                                                                                           ,         2,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         24,NumberCarsOwned                                                                                                                 ,tinyint                                                                                                                         ,         1,        3
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         25,AddressLine1                                                                                                                    ,nvarchar                                                                                                                        ,       240,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         26,AddressLine2                                                                                                                    ,nvarchar                                                                                                                        ,       240,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         27,Phone                                                                                                                           ,nvarchar                                                                                                                        ,        40,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         28,DateFirstPurchase                                                                                                               ,date                                                                                                                            ,         3,       10
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         29,CommuteDistance                                                                                                                 ,nvarchar                                                                                                                        ,        30,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         30,Region                                                                                                                          ,nvarchar                                                                                                                        ,       100,        0
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         31,Age                                                                                                                             ,int                                                                                                                             ,         4,       10
dbo                                                                                                                             ,vTargetMail                                                                                                                     ,         32,BikeBuyer                                                                                                                       ,int                                                                                                                             ,         4,       10
